brand,comment,date,platform,language
Bonanza Satrangi,Ramadan collection dekh kar dil khush ho gaya! Traditional yet modern. 👎,2024-03-17,Instagram,English
Gul Ahmed,Absolutely love the new lawn collection! Designs bohot khoobsurat hain. 😍,2024-04-27,Facebook,English
Gul Ahmed,The unstitched fabric is so soft and easy to work with. Subhanallah! 😠,2024-05-11,Instagram,English
Alkaram,Customer service was very helpful with my exchange. 👎,2024-01-06,Twitter,English
ChenOne,Website chal to rahi hai lekin aur behtar ho sakti hai.,2024-03-26,Facebook,English
Sapphire,Digital print ki quality subhanallah! #PakistaniFashion Wah wah #PakistaniFashion,2024-01-28,Instagram,English
Alkaram,Finally a brand that understands modest fashion needs!,2024-05-06,Facebook,English
Alkaram,Website crashed during sale and lost my cart items. #Alkaram,2024-05-08,Facebook,English
J.,Just received my order - perfect stitching and timely delivery. JazakAllah,2024-02-23,Facebook,English
Khaadi,Website is functional but could use improvements.,2024-02-20,Twitter,English
Alkaram,Customer service didn't resolve my refund issue.,2024-02-23,Facebook,English
Nishat Linen,Catalog mein variety zyada dikh rahi hai actual stores se. ❤️,2024-02-14,Instagram,English
Khaadi,Customer service didn't resolve my refund issue. 👍,2024-02-27,Twitter,English
Sapphire,Size chart bilkul ghalat hai - dress fit hi nahi hui. 👎,2024-05-23,Facebook,English
Bonanza Satrangi,Absolutely love the new lawn collection! The prints are gorgeous. Subhanallah! 😊,2024-04-06,Facebook,English
Sapphire,Just received my order - perfect stitching and timely delivery. #UrduFashion ❤️,2024-05-04,Twitter,English
Sapphire,Galat item mili hai aur return process itna complicated kyun hai?,2024-05-14,Twitter,English
J.,Customer service ne meri exchange mein bohat madad ki. Shukriya! Kya baat hai! #UrduFashion 😊,2024-02-04,Instagram,English
Alkaram,Order was delayed by 2 weeks with no communication. Unacceptable! Bohot khrab! 👎,2024-01-28,Twitter,English
Alkaram,Pehli wash se hi colors udd gaye. Quality check nahi hota kya? Subhanallah!,2024-01-24,Facebook,English
Gul Ahmed,Website is functional but could use improvements. #PakistaniFashion,2024-02-19,Facebook,English
Nishat Linen,The Ramadan collection is breathtaking! Traditional yet modern. 🕌,2024-03-12,Twitter,English
Bonanza Satrangi,Is season ne return policy change kar di hai. Kya baat hai! 🕌,2024-01-19,Instagram,English
Nishat Linen,Finally a brand that understands hijab-friendly fashion needs!,2024-01-03,Twitter,English
Sapphire,Summer colors bilkul Pakistani mausam ke liye perfect hain. 👎,2024-04-26,Twitter,English
Sapphire,The Ramadan collection is breathtaking! Traditional yet modern. Bohot khrab!,2024-04-28,Instagram,English
Alkaram,The Ramadan collection is breathtaking! Traditional yet modern. #LuxuryFabric ❤️,2024-02-20,Facebook,English
Bonanza Satrangi,The Ramadan collection is breathtaking! Traditional yet modern.,2024-05-17,Twitter,English
Sapphire,Absolutely love the new lawn collection! The prints are gorgeous. 😊,2024-03-14,Instagram,English
Gul Ahmed,Mashallah! Order time par mil gaya aur stitching perfect thi.,2024-05-29,Facebook,English
ChenOne,"New collection mein kuch interesting designs hain, kuch bekaar bhi.",2024-02-14,Facebook,English
Alkaram,Unstitched fabric itna soft hai ke stitch karwana aasan hai. Mashallah! 😊,2024-04-28,Facebook,English
Khaadi,Digital print ki quality subhanallah! #PakistaniFashion Shukriya,2024-03-11,Twitter,English
Sapphire,Fabric quality mein bohat improvement hai iss season. Paisa vasool! 😠,2024-05-17,Instagram,English
Khaadi,Overpriced for the quality they're offering now.,2024-04-23,Twitter,English
Gul Ahmed,Digital print ki quality subhanallah! #PakistaniFashion Wah wah 💔,2024-04-22,Twitter,English
J.,"The fabric feels okay, nothing extraordinary. #UrduFashion",2024-05-20,Instagram,English
Khaadi,The unstitched fabric is so soft and easy to work with.,2024-05-08,Instagram,English
Alkaram,The unstitched fabric is so soft and easy to work with.,2024-03-06,Facebook,English
Alkaram,Alkaram ka fabric quality dekh kar bohat mayoos hua. Itna bekaar nahi socha tha. 🤦‍♀️,2024-05-25,Facebook,English
Nishat Linen,Summer colors bilkul Pakistani mausam ke liye perfect hain.,2024-05-18,Instagram,English
Sapphire,Website crashed during sale and lost my cart items. 🕌,2024-02-15,Twitter,English
Gul Ahmed,The unstitched fabric is so soft and easy to work with. Wah wah,2024-04-15,Facebook,English
Nishat Linen,Pehni pehni mein stitching khul gayi. Kya bekaar quality hai! Hayee! #NishatLinen 💔,2024-01-30,Twitter,English
J.,Fabric itna patla hai ke kuch dikh raha hai. Sharam aati hai aisi quality pe.,2024-01-12,Twitter,English
Gul Ahmed,"Gul Ahmed se order mila. Packaging theek thi, khas kuch nahi.",2024-02-24,Twitter,English
Bonanza Satrangi,Bonanza Satrangi ka fabric quality dekh kar bohat mayoos hua. Itna bekaar nahi socha tha. 🤦‍♀️,2024-03-24,Facebook,English
Bonanza Satrangi,The new collection has some interesting designs. Kya baat hai! #BonanzaSatrangi 😊,2024-03-11,Facebook,English
Alkaram,The digital print on this suit is exceptional quality. Bohot khrab!,2024-04-27,Instagram,English
Bonanza Satrangi,Catalog mein variety zyada dikh rahi hai actual stores se. #PakistaniFashion,2024-01-16,Instagram,English
ChenOne,Fabric quality mein bohat improvement hai iss season. Paisa vasool!,2024-01-05,Twitter,English
Sapphire,Absolutely love the new lawn collection! Designs bohot khoobsurat hain. #PakistaniFashion,2024-02-16,Facebook,English
J.,The stitching came loose after just one wear. Wah wah 😍,2024-05-01,Twitter,English
Gul Ahmed,Mashallah! Order time par mil gaya aur stitching perfect thi. #SlowFashion 🤲,2024-05-10,Facebook,English
Alkaram,Disappointed with the fabric quality this time. Not what I expected from Alkaram. 😍,2024-01-08,Facebook,English
Gul Ahmed,Mashallah! Order time par mil gaya aur stitching perfect thi.,2024-04-03,Facebook,English
Khaadi,Pehni pehni mein stitching khul gayi. Kya bekaar quality hai! #Khaadi,2024-01-14,Instagram,English
Bonanza Satrangi,Received wrong item and return process is complicated.,2024-04-07,Twitter,English
Alkaram,Absolutely love the new lawn collection! The prints are gorgeous. 🤲,2024-01-22,Twitter,English
Khaadi,The unstitched fabric is so soft and easy to work with. JazakAllah,2024-01-27,Facebook,English
Alkaram,Overpriced for the quality they're offering now.,2024-04-22,Twitter,English
Nishat Linen,Website sale ke time crash hogayi aur cart empty ho gaya. Haye Allah! #LuxuryFabric 😍,2024-04-09,Instagram,English
Nishat Linen,Fabric quality mein bohat improvement hai iss season. Paisa vasool! Subhanallah!,2024-02-06,Facebook,English
Gul Ahmed,The stitching came loose after just one wear.,2024-01-26,Facebook,English
Bonanza Satrangi,"The fabric feels okay, nothing extraordinary.",2024-05-23,Facebook,English
Gul Ahmed,Absolutely love the new lawn collection! Designs bohot khoobsurat hain. #UrduFashion,2024-04-22,Twitter,English
Sapphire,Sapphire ka sustainable fashion initiative zabardast hai! Eco-friendly packaging bhi. Shukriya #SlowFashion 🕌,2024-04-12,Twitter,English
Gul Ahmed,"Fabric theek thaak hai, khas kuch khas nahi. Subhanallah!",2024-02-09,Twitter,English
Gul Ahmed,The fabric quality has improved so much this season. Worth every rupee.,2024-02-17,Instagram,English
ChenOne,Just received my order - perfect stitching and timely delivery. #LuxuryFabric,2024-03-16,Twitter,English
Bonanza Satrangi,Customer service ne meri exchange mein bohat madad ki. Shukriya!,2024-01-21,Instagram,English
Gul Ahmed,Fabric quality mein bohat improvement hai iss season. Paisa vasool! 🤲,2024-03-25,Facebook,English
Gul Ahmed,Sustainable fashion initiative by Gul Ahmed is amazing. Eco-friendly packaging too!,2024-02-11,Facebook,English
Sapphire,Finally a brand that understands modest fashion needs! Bohat aala! 🤦‍♀️,2024-02-26,Instagram,English
J.,Order was delayed by 2 weeks with no communication. Unacceptable! Subhanallah!,2024-02-19,Instagram,English
Khaadi,Digital print ki quality subhanallah! #PakistaniFashion,2024-05-10,Instagram,English
ChenOne,Just received my order - perfect stitching and timely delivery. #UrduFashion 😍,2024-04-03,Twitter,English
Alkaram,Ramadan collection dekh kar dil khush ho gaya! Traditional yet modern. ❤️,2024-04-10,Instagram,English
ChenOne,Galat item mili hai aur return process itna complicated kyun hai? #ChenOne,2024-03-14,Twitter,English
J.,Customer service didn't resolve my refund issue. Wah wah 😠,2024-04-15,Facebook,English
Bonanza Satrangi,Bonanza Satrangi ka sustainable fashion initiative zabardast hai! Eco-friendly packaging bhi.,2024-03-02,Twitter,English
J.,Sustainable fashion initiative by J. is amazing. Eco-friendly packaging too!,2024-01-11,Twitter,English
Bonanza Satrangi,Customer service was very helpful with my exchange.,2024-04-07,Twitter,English
Gul Ahmed,Overpriced for the quality they're offering now. Ajeeb!,2024-05-06,Twitter,English
Khaadi,The fabric is too sheer for Pakistani standards. ❤️,2024-01-31,Instagram,English
Bonanza Satrangi,Overpriced for the quality they're offering now. Ajeeb!,2024-05-15,Facebook,English
Khaadi,Absolutely love the new lawn collection! Designs bohot khoobsurat hain. Acha hua ❤️,2024-05-10,Twitter,English
Gul Ahmed,Absolutely love the new lawn collection! The prints are gorgeous. Haye Allah 😍,2024-03-14,Facebook,English
Bonanza Satrangi,The Ramadan collection is breathtaking! Traditional yet modern.,2024-05-02,Facebook,English
Alkaram,Customer service was very helpful with my exchange. Hayee! #PakistaniFashion,2024-05-23,Instagram,English
Bonanza Satrangi,Summer colors bilkul Pakistani mausam ke liye perfect hain. #BonanzaSatrangi,2024-01-05,Facebook,English
Khaadi,The fabric quality has improved so much this season. Worth every rupee. #UrduFashion,2024-03-29,Facebook,English
Alkaram,The fabric quality has improved so much this season. Worth every rupee.,2024-03-05,Instagram,English
Sapphire,Catalog mein variety zyada dikh rahi hai actual stores se.,2024-03-27,Twitter,English
Gul Ahmed,Pehli wash se hi colors udd gaye. Quality check nahi hota kya? Subhanallah! 😊,2024-05-04,Twitter,English
Nishat Linen,Absolutely love the new lawn collection! The prints are gorgeous. Acha hua,2024-03-16,Twitter,English
Gul Ahmed,Prices are comparable to other brands in the market. 💔,2024-03-17,Instagram,English
Khaadi,Digital print ki quality subhanallah! #PakistaniFashion,2024-04-08,Twitter,English
Nishat Linen,The stitching came loose after just one wear.,2024-03-15,Instagram,English
ChenOne,Fabric itna patla hai ke kuch dikh raha hai. Sharam aati hai aisi quality pe. #SlowFashion,2024-04-26,Facebook,English
Bonanza Satrangi,Sustainable fashion initiative by Bonanza Satrangi is amazing. Eco-friendly packaging too!,2024-02-13,Facebook,English
ChenOne,The new collection has some interesting designs.,2024-01-29,Facebook,English
Alkaram,Just received my order - perfect stitching and timely delivery. 🤦‍♀️,2024-02-18,Facebook,English
Alkaram,Finally a brand that understands hijab-friendly fashion needs! 👍,2024-04-28,Instagram,English
Sapphire,Fabric itna patla hai ke kuch dikh raha hai. Sharam aati hai aisi quality pe.,2024-03-30,Instagram,English
Nishat Linen,Just received my order - perfect stitching and timely delivery. 👎,2024-05-15,Instagram,English
J.,Sustainable fashion initiative by J. is amazing. Eco-friendly packaging too! 👍,2024-05-13,Instagram,English
Sapphire,Website chal to rahi hai lekin aur behtar ho sakti hai. #PakistaniFashion 💔,2024-02-22,Twitter,English
Bonanza Satrangi,Ramadan collection dekh kar dil khush ho gaya! Traditional yet modern. Hayee!,2024-04-21,Twitter,English
Nishat Linen,Sustainable fashion initiative by Nishat Linen is amazing. Eco-friendly packaging too! #SlowFashion,2024-05-02,Instagram,English
Bonanza Satrangi,Received my order from Bonanza Satrangi. Packaging was standard. 😊,2024-02-09,Twitter,English
Sapphire,Customer service ne meri exchange mein bohat madad ki. Shukriya!,2024-02-08,Twitter,English
Khaadi,Visited the store in Lahore. Average shopping experience. 🤦‍♀️,2024-01-25,Facebook,English
Sapphire,Itnay mehngay hoke bhi aisi quality? Zyati ho rahi hai.,2024-01-23,Twitter,English
Alkaram,Sustainable fashion initiative by Alkaram is amazing. Eco-friendly packaging too! #Alkaram,2024-02-25,Instagram,English
ChenOne,Finally a brand that understands modest fashion needs! 💔,2024-01-05,Twitter,English
Alkaram,Customer service was very helpful with my exchange. 🤲,2024-05-12,Facebook,English
Alkaram,Fabric quality mein bohat improvement hai iss season. Paisa vasool!,2024-03-05,Instagram,English
Sapphire,Just received my order - perfect stitching and timely delivery.,2024-02-16,Facebook,English
Khaadi,Just received my order - perfect stitching and timely delivery. #Khaadi,2024-04-07,Twitter,English
Alkaram,Summer colors bilkul Pakistani mausam ke liye perfect hain. Bohot khrab!,2024-05-08,Twitter,English
Bonanza Satrangi,They've changed their return policy this season. #BonanzaSatrangi 😊,2024-02-17,Facebook,English
ChenOne,Website chal to rahi hai lekin aur behtar ho sakti hai. Hayee! #PakistaniFashion 🤦‍♀️,2024-05-24,Instagram,English
J.,Absolutely love the new lawn collection! The prints are gorgeous.,2024-03-27,Twitter,English
Gul Ahmed,Size chart was inaccurate - dress doesn't fit properly.,2024-04-16,Facebook,English
Khaadi,Order was delayed by 2 weeks with no communication. Unacceptable! ❤️,2024-02-14,Instagram,English
Bonanza Satrangi,Pehli wash se hi colors udd gaye. Quality check nahi hota kya? Meherbani 👎,2024-04-01,Twitter,English
Khaadi,Website sale ke time crash hogayi aur cart empty ho gaya. Haye Allah! 💔,2024-04-25,Instagram,English
Gul Ahmed,Finally a brand that understands hijab-friendly fashion needs! Shukriya ❤️,2024-01-15,Facebook,English
Bonanza Satrangi,Fabric quality mein bohat improvement hai iss season. Paisa vasool! JazakAllah 💔,2024-01-18,Facebook,English
J.,The collection has both hits and misses this season. Bohot khrab!,2024-05-20,Instagram,English
Khaadi,Fabric itna patla hai ke kuch dikh raha hai. Sharam aati hai aisi quality pe.,2024-04-12,Twitter,English
Sapphire,Fabric quality mein bohat improvement hai iss season. Paisa vasool!,2024-02-21,Instagram,English
Gul Ahmed,Pehli wash se hi colors udd gaye. Quality check nahi hota kya?,2024-03-10,Facebook,English
ChenOne,The stitching came loose after just one wear.,2024-02-14,Instagram,English
Nishat Linen,Just received my order - perfect stitching and timely delivery. 🤦‍♀️,2024-02-01,Facebook,English
J.,"Lahore store ka experience aam tha, na khas acha na bura. Subhanallah!",2024-01-03,Facebook,English
Khaadi,Pehli wash se hi colors udd gaye. Quality check nahi hota kya? Kya baat hai! 😠,2024-01-09,Facebook,English
Bonanza Satrangi,Absolutely love the new lawn collection! The prints are gorgeous. Wah wah 😍,2024-04-18,Instagram,English
Khaadi,Summer colors bilkul Pakistani mausam ke liye perfect hain. Bohat aala!,2024-05-02,Facebook,English
Nishat Linen,Size chart bilkul ghalat hai - dress fit hi nahi hui.,2024-04-03,Facebook,English
ChenOne,The digital print on this suit is exceptional quality. #LuxuryFabric 👎,2024-05-27,Instagram,English
Gul Ahmed,Fabric quality mein bohat improvement hai iss season. Paisa vasool! #SlowFashion,2024-04-14,Twitter,English
J.,The collection has both hits and misses this season.,2024-02-08,Facebook,English
Gul Ahmed,Summer colors bilkul Pakistani mausam ke liye perfect hain. 👎,2024-01-16,Facebook,English
Gul Ahmed,The stitching came loose after just one wear.,2024-04-16,Instagram,English
ChenOne,The Ramadan collection is breathtaking! Traditional yet modern. 😠,2024-05-13,Instagram,English
Bonanza Satrangi,Unstitched fabric itna soft hai ke stitch karwana aasan hai.,2024-01-13,Instagram,English
Sapphire,Unstitched fabric itna soft hai ke stitch karwana aasan hai. 🤦‍♀️,2024-05-22,Facebook,English
J.,"Lahore store ka experience aam tha, na khas acha na bura.",2024-01-14,Twitter,English
Sapphire,Finally a brand that understands modest fashion needs! Bohat aala! #UrduFashion,2024-04-18,Facebook,English
Bonanza Satrangi,Mashallah! Order time par mil gaya aur stitching perfect thi. Bohot khrab!,2024-02-03,Instagram,English
Bonanza Satrangi,These summer colors are perfect for Pakistani weather. 🕌,2024-03-13,Instagram,English
Nishat Linen,Itnay mehngay hoke bhi aisi quality? Zyati ho rahi hai.,2024-02-07,Twitter,English
J.,The Ramadan collection is breathtaking! Traditional yet modern. JazakAllah,2024-04-07,Facebook,English
Sapphire,Unstitched fabric itna soft hai ke stitch karwana aasan hai. Subhanallah! 😍,2024-03-23,Instagram,English
J.,Sustainable fashion initiative by J. is amazing. Eco-friendly packaging too! #SlowFashion 🤦‍♀️,2024-04-16,Facebook,English
Sapphire,Sustainable fashion initiative by Sapphire is amazing. Eco-friendly packaging too! 🤦‍♀️,2024-01-08,Twitter,English
Alkaram,Ramadan collection dekh kar dil khush ho gaya! Traditional yet modern.,2024-02-18,Facebook,English
Gul Ahmed,Gul Ahmed ka sustainable fashion initiative zabardast hai! Eco-friendly packaging bhi. #SlowFashion,2024-01-02,Facebook,English
Bonanza Satrangi,Bonanza Satrangi ka sustainable fashion initiative zabardast hai! Eco-friendly packaging bhi. #SlowFashion,2024-01-18,Instagram,English
Alkaram,The new collection has some interesting designs. Ajeeb!,2024-01-31,Twitter,English
ChenOne,"The fabric feels okay, nothing extraordinary. #SlowFashion",2024-01-31,Facebook,English
Khaadi,Finally a brand that understands modest fashion needs! Haye Allah 🕌,2024-02-20,Facebook,English
Khaadi,Finally a brand that understands modest fashion needs! #SlowFashion,2024-05-16,Twitter,English
J.,Fabric quality mein bohat improvement hai iss season. Paisa vasool!,2024-03-06,Facebook,English
Bonanza Satrangi,Karachi mein delivery time normal tha.,2024-02-23,Twitter,English
J.,Fabric quality mein bohat improvement hai iss season. Paisa vasool!,2024-01-08,Twitter,English
Alkaram,Ramadan collection dekh kar dil khush ho gaya! Traditional yet modern. #SlowFashion 😠,2024-02-12,Facebook,English
J.,Sustainable fashion initiative by J. is amazing. Eco-friendly packaging too! ❤️,2024-01-21,Facebook,English
Khaadi,The fabric quality has improved so much this season. Worth every rupee. Shukriya 💔,2024-04-06,Instagram,English
Sapphire,Absolutely love the new lawn collection! The prints are gorgeous.,2024-03-14,Facebook,English
Sapphire,The new collection has some interesting designs. 🕌,2024-01-16,Twitter,English
Gul Ahmed,Sustainable fashion initiative by Gul Ahmed is amazing. Eco-friendly packaging too!,2024-04-23,Facebook,English
Sapphire,The digital print on this suit is exceptional quality. Mashallah!,2024-02-25,Instagram,English
ChenOne,Fabric itna patla hai ke kuch dikh raha hai. Sharam aati hai aisi quality pe. Bohot khrab!,2024-03-24,Facebook,English
Sapphire,Ramadan collection dekh kar dil khush ho gaya! Traditional yet modern.,2024-05-02,Instagram,English
Bonanza Satrangi,Mashallah! Order time par mil gaya aur stitching perfect thi. 🤦‍♀️,2024-03-14,Instagram,English
Nishat Linen,The unstitched fabric is so soft and easy to work with. 🤦‍♀️,2024-05-07,Instagram,English
Alkaram,Fabric quality mein bohat improvement hai iss season. Paisa vasool! #SlowFashion,2024-05-05,Instagram,English
Nishat Linen,"Collection mein kuch achi cheezein hain, kuch buri bhi. 😠",2024-03-15,Instagram,English
Gul Ahmed,Ramadan collection dekh kar dil khush ho gaya! Traditional yet modern.,2024-05-24,Twitter,English
Gul Ahmed,Just received my order - perfect stitching and timely delivery. Bohat aala! #UrduFashion,2024-04-15,Facebook,English
Khaadi,These summer colors are perfect for Pakistani weather. Wah wah #Khaadi 👎,2024-02-04,Twitter,English
Khaadi,Website is functional but could use improvements. #SlowFashion,2024-05-07,Twitter,English
Sapphire,Unstitched fabric itna soft hai ke stitch karwana aasan hai. 👎,2024-01-11,Facebook,English
Sapphire,The collection has both hits and misses this season. 👎,2024-03-01,Facebook,English
J.,Overpriced for the quality they're offering now. #LuxuryFabric,2024-01-14,Twitter,English
Bonanza Satrangi,Customer service ne meri exchange mein bohat madad ki. Shukriya! #SlowFashion,2024-02-14,Facebook,English
Gul Ahmed,Pehni pehni mein stitching khul gayi. Kya bekaar quality hai! Kya baat hai!,2024-03-14,Instagram,English
Bonanza Satrangi,These summer colors are perfect for Pakistani weather.,2024-02-17,Instagram,English
Alkaram,Fabric itna patla hai ke kuch dikh raha hai. Sharam aati hai aisi quality pe. 😊,2024-03-12,Facebook,English
Alkaram,Fabric itna patla hai ke kuch dikh raha hai. Sharam aati hai aisi quality pe.,2024-02-11,Twitter,English
Sapphire,Customer service ne refund ka masla solve nahi kiya. Koi farq nahi parta. 🕌,2024-03-13,Twitter,English
Nishat Linen,Customer service was very helpful with my exchange. Subhanallah! 🤲,2024-02-20,Twitter,English
Bonanza Satrangi,Absolutely love the new lawn collection! The prints are gorgeous. 👎,2024-05-25,Instagram,English
Nishat Linen,Fabric itna patla hai ke kuch dikh raha hai. Sharam aati hai aisi quality pe. 💔,2024-03-12,Twitter,English
Khaadi,Fabric quality mein bohat improvement hai iss season. Paisa vasool! 👎,2024-01-04,Facebook,English
ChenOne,"New collection mein kuch interesting designs hain, kuch bekaar bhi. Shukriya 😊",2024-02-15,Instagram,English
J.,The fabric is too sheer for Pakistani standards. 😍,2024-05-01,Facebook,English
Nishat Linen,Fabric itna patla hai ke kuch dikh raha hai. Sharam aati hai aisi quality pe.,2024-04-19,Instagram,English
Sapphire,Absolutely love the new lawn collection! The prints are gorgeous.,2024-04-08,Facebook,English
Bonanza Satrangi,Overpriced for the quality they're offering now. Bohat aala! 👎,2024-05-03,Twitter,English
Nishat Linen,Customer service was very helpful with my exchange. #PakistaniFashion,2024-04-02,Facebook,English
ChenOne,Digital print ki quality subhanallah! #PakistaniFashion #PakistaniFashion 😍,2024-01-08,Facebook,English
J.,Pehni pehni mein stitching khul gayi. Kya bekaar quality hai! #J.,2024-01-04,Facebook,English
Gul Ahmed,Overpriced for the quality they're offering now.,2024-03-25,Instagram,English
Gul Ahmed,Absolutely love the new lawn collection! Designs bohot khoobsurat hain. Ajeeb! 💔,2024-04-28,Twitter,English
Alkaram,Website crashed during sale and lost my cart items.,2024-01-12,Instagram,English
Sapphire,Pehli wash se hi colors udd gaye. Quality check nahi hota kya?,2024-03-27,Twitter,English
Khaadi,Customer service ne refund ka masla solve nahi kiya. Koi farq nahi parta. 😊,2024-03-06,Facebook,English
Gul Ahmed,Ramadan collection dekh kar dil khush ho gaya! Traditional yet modern. Ya Allah!,2024-02-20,Facebook,English
Gul Ahmed,The fabric quality has improved so much this season. Worth every rupee. Meherbani 💔,2024-03-21,Twitter,English
Khaadi,Just received my order - perfect stitching and timely delivery. 😊,2024-01-09,Instagram,English
J.,Just received my order - perfect stitching and timely delivery.,2024-04-03,Twitter,English
Bonanza Satrangi,Size chart bilkul ghalat hai - dress fit hi nahi hui. Subhanallah!,2024-01-05,Instagram,English
Nishat Linen,Fabric itna patla hai ke kuch dikh raha hai. Sharam aati hai aisi quality pe. Meherbani,2024-05-05,Twitter,English
Bonanza Satrangi,Finally a brand that understands hijab-friendly fashion needs!,2024-02-01,Instagram,English
Alkaram,Just received my order - perfect stitching and timely delivery. Bohot khrab!,2024-03-01,Instagram,English
Sapphire,Ramadan collection dekh kar dil khush ho gaya! Traditional yet modern. Hayee!,2024-01-26,Twitter,English
Bonanza Satrangi,Unstitched fabric itna soft hai ke stitch karwana aasan hai. 😍,2024-03-03,Twitter,English
